term,document_count,percent
symptomatik kurzzeitig,14,2.4
jahren zervikobrachialgien,14,2.4
zyklus unregelmäßig,14,2.4
bekannten,14,2.4
aufnahmegespräch fünf,14,2.4
chronische sinusitis,14,2.4
halben jahr,14,2.4
verstärkung,14,2.4
belastbarkeitsgrenze deutlich,14,2.4
schlimmer,14,2.4
heißhunger süßes,14,2.4
schulter nacken,14,2.4
beginnende,14,2.4
hart,14,2.4
stehen würden,14,2.4
zwei schwangerschaften,14,2.4
diskutiert,14,2.4
taubheit,14,2.4
operativ versorgt,14,2.4
hauptsächlich,14,2.4
wandern,14,2.4
pneumonie,14,2.4
multiplen,14,2.4
inzwischen,14,2.4
bestehendes,14,2.4
mutter vater,14,2.4
hypertonie schlaf,14,2.4
menopause kardiovaskuläre,14,2.4
führten,14,2.4
lichtempfindlichkeit,14,2.4
weißer belag,14,2.4
saitenförmig nierenpuls,14,2.4
weißer leicht,14,2.4
anämie,14,2.4
schaffen,14,2.4
hiatushernie,13,2.2
flecken,13,2.2
kaum nötigste,13,2.2
stuhlfrequenz,13,2.2
leichtes,13,2.2
tief,13,2.2
rote zungenspitze,13,2.2
aufwachen,13,2.2
nahrungsaufnahme,13,2.2
schmerzen leiden,13,2.2
vergangenen,13,2.2
ruhe kommen,13,2.2
ständig vorhanden,13,2.2
chronischen beschwerdesymptomatik,13,2.2
famenita,13,2.2
ansonsten,13,2.2
normaler,13,2.2
beeinträchtigt habe,13,2.2
rechtsseitig,13,2.2
orthopäden,13,2.2
opipramol,13,2.2
belastungen,13,2.2
fibromyalgie gestellt,13,2.2
schmerzen wenigen,13,2.2
könnte,13,2.2
migräneanfällen,13,2.2
mehrfachen,13,2.2
vater prostatakrebs,13,2.2
kardiologische risikofaktoren,13,2.2
früh,13,2.2
leide anhaltenden,13,2.2
beklagen,13,2.2
selten mundtrockenheit,13,2.2
gesicht,13,2.2
lindernd,13,2.2
lumbale,13,2.2
beschwerden zehn,13,2.2
ganze,13,2.2
schultergelenk,13,2.2
unklarer genese,13,2.2
stuhlgang meistens,13,2.2
häufigkeit,13,2.2
appendektomie tonsillektomie,13,2.2
rechten knie,13,2.2
außerdem leide,13,2.2
kopfschmerzen zwei,13,2.2
energieniveau altersentsprechend,13,2.2
hoher,13,2.2
covid geimpft,13,2.2
koronare,13,2.2
leisten,13,2.2
muskel,13,2.2
ehesten,13,2.2
einschließlich,13,2.2
treppensteigen,13,2.2
pulsierend,13,2.2
hautkrebs,13,2.2
verträgt,13,2.2
schnell gestresst,13,2.2
raynaud,13,2.2
negativ,13,2.2
intermittierendes,13,2.2
aufnahmegespräch zwei,13,2.2
eingeschränkt stimmung,13,2.2
gluten,13,2.2
überforderung burn,13,2.2
burn beklagen,13,2.2
paracetamol,13,2.2
nachts mundtrockenheit,13,2.2
erklärt,13,2.2
allergisches asthma,13,2.2
handle anhaltende,13,2.2
ausgeprägten durchschlafstörungen,13,2.2
aufzubauen,13,2.2
vermehrter flatulenz,13,2.2
dorsalgien fast,13,2.2
stärker,13,2.2
verschiedenster,13,2.2
abgeschlagenheit,13,2.2
reagiert,13,2.2
stationären aufenthalt,13,2.2
stehen sitzen,13,2.2
bevor,13,2.2
berentet schlaf,13,2.2
längerem stehen,13,2.2
leistungsfähigkeit stark,13,2.2
mehrere tage,13,2.2
jahren habe,13,2.2
seien dauerhaft,13,2.2
akupunktur,13,2.2
trinkmenge,13,2.2
nötigste schaffen,13,2.2
zoster,13,2.2
rezidiv,13,2.2
schmerzen ziehendem,13,2.2
abschließend,13,2.2
schmerzen häufig,13,2.2
darm beschwerden,13,2.2
durchfälle,13,2.2
links syndrom,13,2.2
degenerativen,13,2.2
brennendem,13,2.2
bewegen,13,2.2
muskulärer,13,2.2
abdominelle,13,2.2
gestresst,13,2.2
kopfes,13,2.2
erschöpfungssymptomen,13,2.2
macht,13,2.2
körperliche psychische,13,2.2
bronchitis,13,2.2
husten,13,2.2
ursächlich,13,2.2
effekt,13,2.2
psychischer,13,2.2
folsäure,13,2.2
grund,13,2.2
trimipramin,13,2.2
benigne prostatahyperplasie,13,2.2
vater kardiovaskuläre,13,2.2
relevante,13,2.2
geringe,13,2.2
alzheimer,13,2.2
belastbar,13,2.2
dumpf drückend,13,2.2
erschöpfungssymptomen leiden,13,2.2
manuelle wärme,13,2.2
beschwerden zwanzig,13,2.2
ziehenden schmerzen,13,2.2
belastenden,13,2.2
verstorben gynäkologische,13,2.2
mellitus durchschlafstörungen,13,2.2
ebenso,13,2.2
muskelschmerzen,13,2.2
einhergehend,13,2.2
ausprägung vorhanden,13,2.2
handgelenke,13,2.2
feuchtigkeit,13,2.2
kraft aufzubauen,13,2.2
problem nennt,13,2.2
ganzkörperschmerzen leiden,13,2.2
zudem habe,13,2.2
erheblichen,13,2.2
vorhofflimmern,13,2.2
gelber belag,13,2.2
schwäche milz,13,2.2
weshalb,12,2.0
kniegelenken,12,2.0
caesarea,12,2.0
läsion,12,2.0
flecken weißer,12,2.0
darunter,12,2.0
nachweis,12,2.0
massive,12,2.0
überfordert,12,2.0
schüben,12,2.0
aurium arterielle,12,2.0
somatisch hauptproblem,12,2.0
schlafstörungen appetit,12,2.0
zwei dreimal,12,2.0
leistenbruch rechts,12,2.0
schlaf teilweise,12,2.0
belastungsabhängige knieschmerzen,12,2.0
initial,12,2.0
erkrankt,12,2.0
gewisse,12,2.0
letzten jahres,12,2.0
sogar,12,2.0
beidseits charakter,12,2.0
emotionaler,12,2.0
arterieller hypertonie,12,2.0
hypertonie medikamentös,12,2.0
meisten,12,2.0
diversen,12,2.0
leidet chronischen,12,2.0
beeinträchtigt aufenthalt,12,2.0
allergien unverträglichkeiten,12,2.0
krebsleiden gynäkologische,12,2.0
linken knie,12,2.0
gefasst jahren,12,2.0
posttraumatische,12,2.0
massiven,12,2.0
freitags,12,2.0
hauptschmerz,12,2.0
lungen,12,2.0
angenehm empfunden,12,2.0
gehabt,12,2.0
extremität,12,2.0
medikamentös eingestellt,12,2.0
attacken,12,2.0
verordnet,12,2.0
hinaus schlaf,12,2.0
sorge eigenen,12,2.0
deutliche verminderung,12,2.0
entwickelte,12,2.0
eigenen ansprüchen,12,2.0
intensität aufenthalt,12,2.0
aurium charakter,12,2.0
zervikozephalessyndrom,12,2.0
hinweis,12,2.0
sigmadivertikulose,12,2.0
stechend ziehend,12,2.0
progrediente,12,2.0
sertralin,12,2.0
starkes,12,2.0
vorgestellt,12,2.0
schlechter,12,2.0
penicillinallergie,12,2.0
äußere,12,2.0
hitzewallungen energieniveau,12,2.0
extrem,12,2.0
rechts schmerzen,12,2.0
zervikobrachialgie,12,2.0
könne benennen,12,2.0
bandscheibenprolaps,12,2.0
druckempfindlichkeit muskulatur,12,2.0
jahr kardiovaskuläre,12,2.0
morgens aufstehen,12,2.0
gerecht,12,2.0
sicht,12,2.0
gelingt kaum,12,2.0
ekzem,12,2.0
mehreren stunden,12,2.0
syndrom schulterschmerzen,12,2.0
ansprüchen,12,2.0
kontext,12,2.0
nodosa,12,2.0
zervikobrachialgien leiden,12,2.0
leiden kopfschmerzen,12,2.0
diagnostiziert aufenthalt,12,2.0
mundgeschmack,12,2.0
bursitis,12,2.0
niereninsuffizienz,12,2.0
kognitiver,12,2.0
neben,12,2.0
bupropion,12,2.0
weder,12,2.0
wache,12,2.0
charakter rauschen,12,2.0
problematik,12,2.0
kontrolle,12,2.0
lokalisationen,12,2.0
wenig kraft,12,2.0
ständig energielos,12,2.0
beschwerden leiden,12,2.0
unangenehm,12,2.0
geistiger benommenheit,12,2.0
gelegentlichen,12,2.0
schmerzbedingt,12,2.0
bekannter,12,2.0
innerhalb,12,2.0
besonderheiten kaiserschnitt,12,2.0
stagnation milz,12,2.0
eingeschränkter,12,2.0
mehrmals täglich,12,2.0
geäußert,12,2.0
wasserlassen,12,2.0
dehnübungen,12,2.0
täglich mundtrockenheit,12,2.0
vermutlich,12,2.0
insomnie syndrom,12,2.0
gefühl geistiger,12,2.0
schneller erreicht,12,2.0
bessern wärme,12,2.0
tramadol,12,2.0
länger,12,2.0
jahren verschlechtert,12,2.0
habe erschöpft,12,2.0
zwölf jahren,12,2.0
überlastungssituation,12,2.0
eingeschränkt häufig,12,2.0
frau,12,2.0
mund,12,2.0
gliedmaßen,12,2.0
stechendem charakter,12,2.0
hausstaub,12,2.0
erholsamer,12,2.0
beschreibt verminderung,12,2.0
vermehrt gewicht,12,2.0
diverse,12,2.0
hypertonie gynäkologische,12,2.0
unfall,12,2.0
familiärer situation,12,2.0
ausstrahlung linken,12,2.0
infekt,12,2.0
infekte,12,2.0
körperlichen beschwerden,12,2.0
mutter darmkrebs,12,2.0
kälteempfindlich häufig,12,2.0
torasemid,12,2.0
hyperlipidämie,12,2.0
rechts arterielle,12,2.0
maximal,12,2.0
erhöhung,12,2.0
übergewicht,12,2.0
langem,12,2.0
rahmen fibromyalgie,12,2.0
habe leide,12,2.0
häufigen blockaden,12,2.0
mittel,12,2.0
beschwerden letzten,12,2.0
empfindlichkeit,12,2.0
belastungsabhängigen schmerzen,12,2.0
chronisches syndrom,12,2.0
erwache,12,2.0
bläulich rissig,11,1.9
zweite,11,1.9
wärmeanwendung,11,1.9
besonderheiten hysterektomie,11,1.9
gedunsen flecken,11,1.9
schlüpfrig milz,11,1.9
rheumatica,11,1.9
polymyalgia,11,1.9
verspannung begleitend,11,1.9
oberbauchschmerzen,11,1.9
naproxen,11,1.9
gesäß,11,1.9
woraufhin,11,1.9
schmerzen meistens,11,1.9
leide drei,11,1.9
unterstützung,11,1.9
erhofft,11,1.9
heuschnupfen nikotinkonsum,11,1.9
gefühl wenig,11,1.9
habe häufig,11,1.9
steht depressive,11,1.9
salbutamol übliche,11,1.9
ursache beschwerden,11,1.9
koxarthrose,11,1.9
spontan,11,1.9
akute,11,1.9
katzenhaare,11,1.9
ausgeprägte muskuläre,11,1.9
begleitend bestehen,11,1.9
demenz gynäkologische,11,1.9
tagesverlauf,11,1.9
emotionale empfindlichkeit,11,1.9
konzentrationsstörungen gefühl,11,1.9
phasenweise gedrückt,11,1.9
etagen,11,1.9
selbstständigkeit,11,1.9
fühle schnell,11,1.9
schultern arme,11,1.9
verschiedenster qualität,11,1.9
koloskopie,11,1.9
erhöhte infektanfälligkeit,11,1.9
muskulärer anspannung,11,1.9
beschwerden bessern,11,1.9
rechten hüfte,11,1.9
mindestens,11,1.9
visuellen analogskala,11,1.9
intensität schmerzen,11,1.9
reizdarmsymptomatik,11,1.9
merklich,11,1.9
links rezidivierende,11,1.9
bedrückt,11,1.9
innerlich,11,1.9
verschiedene schmerzen,11,1.9
benennen verschiedene,11,1.9
schmerzen vordergrund,11,1.9
arbeitsunfall,11,1.9
geformt normales,11,1.9
aurium rechts,11,1.9
wirken,11,1.9
meniskus links,11,1.9
crohn,11,1.9
ausstrahlung schultern,11,1.9
muskulatur gesamten,11,1.9
obwohl,11,1.9
unspezifischen,11,1.9
beschwerdelinderung ramipril,11,1.9
zahlreiche nahrungsmittelunverträglichkeiten,11,1.9
herpes zoster,11,1.9
wöchentlich montags,11,1.9
oberbauch,11,1.9
schlaf meistens,11,1.9
gereizt stimmung,11,1.9
körper wärme,11,1.9
schmerzen verschiedenster,11,1.9
fehlgeburten,11,1.9
inkontinenz,11,1.9
reflux,11,1.9
herbst,11,1.9
wegweisenden,11,1.9
angefangen,11,1.9
ständigen,11,1.9
reaktion,11,1.9
zurück,11,1.9
fehlhaltung stress,11,1.9
jahren vermehrt,11,1.9
zwei tage,11,1.9
pochenden empfunden,11,1.9
durchgeführte,11,1.9
erschwerend kommt,11,1.9
belastung längerem,11,1.9
inneren,11,1.9
trinkmenge liter,11,1.9
rumpf,11,1.9
süßes gewicht,11,1.9
bestehen jahren,11,1.9
schübe,11,1.9
abklingen,11,1.9
erreicht habe,11,1.9
durst vermehrt,11,1.9
kurzfristig,11,1.9
sehstörungen,11,1.9
beider hände,11,1.9
chronische schmerzen,11,1.9
wärme ruhe,11,1.9
gesäßbereich,11,1.9
dadurch beeinträchtigt,11,1.9
jahren anhaltenden,11,1.9
sectio caesarea,11,1.9
verstärkten,11,1.9
rückens,11,1.9
lokaler,11,1.9
scheitel,11,1.9
wäre,11,1.9
anschließender,11,1.9
geformt verstopfungsneigung,11,1.9
chronischen schmerzen,11,1.9
verstärkt schmerzen,11,1.9
fingergelenken,11,1.9
bier,11,1.9
oberarm,11,1.9
schlafbedürfnis appetit,11,1.9
links allergien,11,1.9
bereich teilweise,11,1.9
appendektomie kindheit,11,1.9
multilokulären,11,1.9
schläfen,11,1.9
anfangs,11,1.9
beschreibt gefühl,11,1.9
leichter,11,1.9
diffuse,11,1.9
geformt durchfallneigung,11,1.9
chronischen müdigkeitssymptomatik,11,1.9
zyste,11,1.9
weitgehend,11,1.9
beschwerden verschlechtern,11,1.9
entzündung,11,1.9
wirbelsäle jahren,11,1.9
gastroösophageale,11,1.9
fast wirbelsäle,11,1.9
gynokadin,11,1.9
visuellen,11,1.9
analogskala,11,1.9
lage,11,1.9
punkten,11,1.9
pylori,11,1.9
beschwerden zwei,11,1.9
jahr bestehende,11,1.9
schmerzverstärkung längerem,11,1.9
verspannung häufigen,11,1.9
hörsturz,11,1.9
chronische schmerzproblematik,11,1.9
knien,11,1.9
valgus links,11,1.9
jahren chronische,11,1.9
erhielt,11,1.9
stirnbereich lokalisiert,11,1.9
zigaretten täglich,11,1.9
starken schmerzen,11,1.9
aufenthalt unserer,11,1.9
befallen,11,1.9
ausschluss,11,1.9
anhalt,11,1.9
gedrückten,11,1.9
positive schlaf,11,1.9
tonsillektomie jahren,11,1.9
gutem übergewichtigem,11,1.9
geworden konzentrationsstörungen,11,1.9
anhaltender,11,1.9
arbeitsplatz,11,1.9
jahr schmerzen,11,1.9
jahren intermittierend,11,1.9
zunehmende schmerzen,11,1.9
aufenthalt erhofft,11,1.9
schlaf erholsam,11,1.9
spannungskopfschmerzen syndrom,11,1.9
gesteigerte,11,1.9
reize,11,1.9
steif,11,1.9
linken hand,11,1.9
vermehrt selten,11,1.9
lumbalgien,11,1.9
dumpf empfunden,11,1.9
rechten auge,11,1.9
konzentrationsstörungen schlaf,11,1.9
drei monaten,11,1.9
verträgliche,11,1.9
rheuma,11,1.9
verbessert bedarfsmedikation,11,1.9
müssen,11,1.9
erholsam durchschlafstörungen,11,1.9
beidseitigen,11,1.9
polymyalgia rheumatica,11,1.9
körperlich psychisch,11,1.9
belastungsstörung,11,1.9
einher,11,1.9
zudem beschreibt,11,1.9
posttraumatische belastungsstörung,11,1.9
verträgliche nahrungsmittel,11,1.9
mellitus somatisch,11,1.9
erste,11,1.9
gastroösophageale refluxkrankheit,11,1.9
stehen chronisches,11,1.9
zudem klagt,11,1.9
reizdarmsyndrom somatisch,11,1.9
erforderlich,11,1.9
gedrückten stimmung,11,1.9
leide gedrückten,11,1.9
fühle ständig,11,1.9
entwickelt habe,11,1.9
symptomatik bestehe,11,1.9
schlüpfrig leicht,11,1.9
occipital,11,1.9
darmkrebs gynäkologische,11,1.9
zudem ausgeprägte,11,1.9
körperlicher geistiger,11,1.9
sehen,11,1.9
führte,11,1.9
eruierbar kardiovaskuläre,11,1.9
unterbauchschmerzen,11,1.9
dritten,11,1.9
nebenwirkungen,11,1.9
sonntags,11,1.9
mittelgradige,11,1.9
simvastatin,11,1.9
leide chronischen,11,1.9
reduziert zudem,11,1.9
brain symptomatik,11,1.9
crash phasen,11,1.9
schwankend phasenweise,11,1.9
zuvor unproblematisch,10,1.7
unproblematisch empfunden,10,1.7
empfunden habe,10,1.7
gesteigerte emotionale,10,1.7
habe schlaf,10,1.7
gemischte,10,1.7
symptomatik sinne,10,1.7
ramilich,10,1.7
beschreibt gesteigerte,10,1.7
schrittweise,10,1.7
wade,10,1.7
hautveränderungen,10,1.7
epicondylitis,10,1.7
konstant wenig,10,1.7
linken bein,10,1.7
rechtsseitige,10,1.7
attackenartig,10,1.7
verstorben mutter,10,1.7
syndrom chronische,10,1.7
kälteempfindlichkeit,10,1.7
berichte vordergrund,10,1.7
hypertonie obstruktives,10,1.7
chronisches schmerzsyndrom,10,1.7
betroffenen,10,1.7
links arterielle,10,1.7
geworden spüre,10,1.7
doxycyclin,10,1.7
bohrenden,10,1.7
deutlichen verschlechterung,10,1.7
ziehendem charakter,10,1.7
corona infektionen,10,1.7
menopause zehn,10,1.7
belastung stress,10,1.7
sprunggelenksfraktur,10,1.7
hervor aufnahmegespräch,10,1.7
leistenhernien,10,1.7
mittwochs,10,1.7
habe zwei,10,1.7
schwitzen unauffällig,10,1.7
bestehen schmerzen,10,1.7
gürtelrose,10,1.7
energieverlust,10,1.7
operativen,10,1.7
jahr stuhlgang,10,1.7
wärmetherapie massage,10,1.7
gehen linderung,10,1.7
unproblematisch,10,1.7
dupuytren,10,1.7
intermittierenden beschwerden,10,1.7
benötige,10,1.7
beruflicher familiärer,10,1.7
etoricoxib,10,1.7
stationär aufgenommen,10,1.7
schmerzen deutlich,10,1.7
laktose,10,1.7
vertragen,10,1.7
berichtete,10,1.7
täglich meistens,10,1.7
normale,10,1.7
morbus crohn,10,1.7
gehe,10,1.7
neuropathie,10,1.7
ober,10,1.7
ansprüchen gerecht,10,1.7
letzten stationären,10,1.7
überreiz leide,10,1.7
unruhig,10,1.7
nacken bereich,10,1.7
schlapp,10,1.7
gesichtsschmerzen,10,1.7
frequenz,10,1.7
permanent,10,1.7
brennende schmerzen,10,1.7
deutlich verschlimmert,10,1.7
divertikulose,10,1.7
wärme kurzzeitig,10,1.7
zahlreichen,10,1.7
ergänzend,10,1.7
aurium links,10,1.7
gedächtnisstörungen,10,1.7
hypertonie asthma,10,1.7
kopfschmerzarten,10,1.7
richtig,10,1.7
gelegentlich nachtschweiß,10,1.7
komplizierte,10,1.7
periode wochen,10,1.7
hände füßen,10,1.7
normal selten,10,1.7
kurzatmigkeit,10,1.7
nahrungsmittelnunverträglichkeiten,10,1.7
bedarfsmedikation metamizol,10,1.7
rechts rezidivierende,10,1.7
reizbarkeit,10,1.7
stimmungsschwankungen,10,1.7
kalten,10,1.7
weiteren leide,10,1.7
problemen,10,1.7
stuhldrang,10,1.7
magenschmerzen,10,1.7
bekommen,10,1.7
gegenstände,10,1.7
grübeln,10,1.7
gestört hinaus,10,1.7
spüre innere,10,1.7
zusätzlich bestehen,10,1.7
arbeiten,10,1.7
wahrgenommen,10,1.7
degenerativer,10,1.7
bestehen konzentrations,10,1.7
komplex,10,1.7
schub,10,1.7
mutter demenz,10,1.7
letzten monaten,10,1.7
attackenartig auftretende,10,1.7
kopfschmerzen treten,10,1.7
stress abhängig,10,1.7
deutlich fehlhaltung,10,1.7
obere,10,1.7
menopause jahr,10,1.7
verschlechtert schmerzen,10,1.7
bleiben,10,1.7
beeinflusst,10,1.7
würden kurzzeitigen,10,1.7
obstruktive,10,1.7
kopfschmerz,10,1.7
ohren,10,1.7
gebracht,10,1.7
schmerzverstärkung deutlich,10,1.7
ausreichend,10,1.7
beispielsweise,10,1.7
bauchkrämpfe,10,1.7
klinisch,10,1.7
innenmeniskus,10,1.7
schmerzen ganzen,10,1.7
verstopfungsneigung vermehrte,10,1.7
lokalisiert schmerzen,10,1.7
degenerativen veränderungen,10,1.7
habe gelingt,10,1.7
somatische migräne,10,1.7
schwankt,10,1.7
schmerzen fast,10,1.7
mutter krebsleiden,10,1.7
schmerzen ausstrahlung,10,1.7
sumatriptan,10,1.7
beschwerden sinne,10,1.7
beidseitiger,10,1.7
unabhängig,10,1.7
beschwerden jahr,10,1.7
tamsulosin,10,1.7
überreiz,10,1.7
ambulante,10,1.7
spannungstyp,10,1.7
verstopfung durchfall,10,1.7
hände energieniveau,10,1.7
empfindlichkeit situationen,10,1.7
manuelle aufenthalt,10,1.7
habe zudem,10,1.7
erholsamer schlaf,10,1.7
verschlechtern kälte,10,1.7
wodurch,10,1.7
lichen,10,1.7
pollenallergie nikotinkonsum,10,1.7
entlang,10,1.7
krampfartigen,10,1.7
pulse leber,10,1.7
oberschenkeln,10,1.7
sprunggelenke,10,1.7
zysten,10,1.7
rechts jahren,10,1.7
tendenz,10,1.7
hitze kälte,10,1.7
normaler durst,10,1.7
schlaf erheblich,10,1.7
erreicht früher,10,1.7
situationen zuvor,10,1.7
pathologischen,10,1.7
persistierenden,10,1.7
wiederkehrende crash,10,1.7
ausgeprägtes erschöpfungsgefühl,10,1.7
frühblüher,10,1.7
süßigkeiten,10,1.7
entstanden,10,1.7
normal nykturie,10,1.7
gewichtszunahme jahr,10,1.7
jahren ausgeprägten,10,1.7
allergien penicillin,10,1.7
bedarfsmedikation salbutamol,10,1.7
hitze energieniveau,10,1.7
gereizt leide,10,1.7
kniegelenkes,10,1.7
wiederkehrenden,10,1.7
jähriger normalem,10,1.7
erwähnt außerdem,10,1.7
varizen,10,1.7
gewichtsverlust,10,1.7
beschwerdefrei,10,1.7
dinge,10,1.7
mütterlicherseits,10,1.7
bläulich fleckig,10,1.7
stagnation blutstau,10,1.7
durchgemachten covid,10,1.7
erreicht zudem,10,1.7
magna,10,1.7
unten,9,1.5
linksseitige,9,1.5
hüftschmerzen,9,1.5
wieder mundtrockenheit,9,1.5
längerer zeit,9,1.5
jahr wieder,9,1.5
beziehungen habe,9,1.5
wärme bewegung,9,1.5
rasch,9,1.5
meistens täglich,9,1.5
körperliche beschwerden,9,1.5
hypertonie spezielle,9,1.5
seltener,9,1.5
schubweise,9,1.5
ibuflam,9,1.5
früher leistungsfähigkeit,9,1.5
knoten,9,1.5
mediale,9,1.5
hervor herr,9,1.5
herz,9,1.5
herr jahren,9,1.5
anfälle,9,1.5
spürbar,9,1.5
leiden ausgeprägte,9,1.5
stoffwechsellage,9,1.5
saphena,9,1.5
klinikum,9,1.5
gesichtshälfte,9,1.5
schleimbeimengungen,9,1.5
ausgelöst,9,1.5
muskelverspannungen,9,1.5
biontech,9,1.5
menstruation,9,1.5
funktionsstörung,9,1.5
bestanden,9,1.5
blieben,9,1.5
episode,9,1.5
starkem,9,1.5
candecor,9,1.5
bezug,9,1.5
entzündlich,9,1.5
meistens durchschlafstörungen,9,1.5
reduzieren,9,1.5
sensibilitätsstörungen,9,1.5
kognitiven verlangsamung,9,1.5
warme,9,1.5
bedarf,9,1.5
kniegelenks,9,1.5
temperaturtoleranz verträgt,9,1.5
somatisch hintergrund,9,1.5
konstant durstgefühl,9,1.5
kopfschmerzen spannungstyp,9,1.5
depressive episoden,9,1.5
ziehend empfunden,9,1.5
stechend drückend,9,1.5
leistungsfähigkeit eingeschränkt,9,1.5
erholsam hinsichtlich,9,1.5
dorsalgien wirbelsäle,9,1.5
wegweisender,9,1.5
hepatitis,9,1.5
somatoforme,9,1.5
schulter verspannungen,9,1.5
zervikobrachial syndrom,9,1.5
zudem freud,9,1.5
schläft,9,1.5
bedarfsmedikation sumatriptan,9,1.5
haselnüsse,9,1.5
häufig habe,9,1.5
covid infektionen,9,1.5
gastrointestinale beschwerden,9,1.5
drei tage,9,1.5
abdominelle schmerzen,9,1.5
habe teilweise,9,1.5
zunge belag,9,1.5
fatigue syndrom,9,1.5
allerdings,9,1.5
drückender,9,1.5
hauptschmerz könne,9,1.5
angenehme empfunden,9,1.5
raynaud syndrom,9,1.5
syndrom fibromyalgie,9,1.5
halbe,9,1.5
begonnen hätten,9,1.5
hauptursache,9,1.5
blähungen durstgefühl,9,1.5
ständiger,9,1.5
nasen,9,1.5
mitte,9,1.5
viermal,9,1.5
exzision,9,1.5
nahrungsmittelunverträglichkeit,9,1.5
unterschiedlich hauptschmerz,9,1.5
gesamte wirbelsäule,9,1.5
schlafes,9,1.5
ausgeprägte druckempfindlichkeit,9,1.5
gegenteil,9,1.5
zudem konzentrations,9,1.5
strahlen häufig,9,1.5
medial,9,1.5
besonderheiten knie,9,1.5
bestimmte,9,1.5
habe wieder,9,1.5
rauschen tinnitus,9,1.5
zwei drei,9,1.5
längeres stehen,9,1.5
verlust,9,1.5
medikamenten,9,1.5
geprägt,9,1.5
kopfhaut,9,1.5
typischerweise,9,1.5
gehstrecke,9,1.5
manuelle würden,9,1.5
erfahre meistens,9,1.5
längerem gehen,9,1.5
normalem normalem,9,1.5
entspannung,9,1.5
krebs,9,1.5
beschwerdelinderung thyrox,9,1.5
unspezifischen nahrungsmittelunverträglichkeiten,9,1.5
schmerzen drückenden,9,1.5
merkfähigkeitsstörungen stimmung,9,1.5
körperliche belastung,9,1.5
roggen,9,1.5
ereignis,9,1.5
drückendem,9,1.5
oberschenkels,9,1.5
energie arbeitsfähigkeit,9,1.5
lässt,9,1.5
leiden ursächlich,9,1.5
gedrückt sozialen,9,1.5
kopfschmerzen syndrom,9,1.5
wacht,9,1.5
valsartan,9,1.5
bluthochdruck,9,1.5
tage monat,9,1.5
beanspruchung,9,1.5
gastrointestinale,9,1.5
mammakarzinom,9,1.5
unterarme,9,1.5
bringen,9,1.5
lumbalen,9,1.5
kribbelparästhesien,9,1.5
reizdarmsyndrom syndrom,9,1.5
bereich hals,9,1.5
spondylodese,9,1.5
stimmung wechselhaft,9,1.5
verfassung,9,1.5
besonderheiten leistenbruch,9,1.5
histamin,9,1.5
leide zwei,9,1.5
schwangerschaft,9,1.5
kurzfristigen linderung,9,1.5
äußert form,9,1.5
nennt sowohl,9,1.5
laktoseintoleranz nikotinkonsum,9,1.5
täglich breiig,9,1.5
gelindert aufenthalt,9,1.5
mehre,9,1.5
strahlen schmerzen,9,1.5
gelitten,9,1.5
rechten bein,9,1.5
entleerung,9,1.5
samstags,9,1.5
stechenden ziehenden,9,1.5
angst depressive,9,1.5
bemerke,9,1.5
füßen energieniveau,9,1.5
vergleich früher,9,1.5
mutter arterielle,9,1.5
schulter links,9,1.5
hausarzt,9,1.5
lindert,9,1.5
rückenbeschwerden,9,1.5
befunden,9,1.5
tremor,9,1.5
täglich fest,9,1.5
hoher pfeifton,9,1.5
körperlichen psychischen,9,1.5
quetiapin,9,1.5
sowohl beruflicher,9,1.5
krämpfe,9,1.5
weich normal,9,1.5
flüssig,9,1.5
tumor,9,1.5
muskel gelenkschmerzen,9,1.5
linken knies,9,1.5
nikotinkonsum arbeitsfähigkeit,9,1.5
schmerzhaft,9,1.5
neue,9,1.5
hinaus verdauungsstörungen,9,1.5
regelmäßigen,9,1.5
gabapentin,9,1.5
drei schwangerschaften,9,1.5
zurückhaltender geworden,9,1.5
angenehme,9,1.5
linke körperhälfte,9,1.5
stechendem schmerzcharakter,9,1.5
energieniveau schmerzbedingt,9,1.5
normal haut,9,1.5
zervikobrachial,9,1.5
gehirnerschütterung,9,1.5
laufe zeit,9,1.5
schnell überreiz,9,1.5
merkfähigkeitsstörungen schnell,9,1.5
gutem normal,9,1.5
bestehender,9,1.5
weiteres beschwerdebild,9,1.5
donnerstags,9,1.5
angehalten,9,1.5
medikamentöse,9,1.5
mundgeschmack miktion,9,1.5
wetterwechsel,9,1.5
kortison,9,1.5
mache,9,1.5
methotrexat,9,1.5
schlimmsten seien,9,1.5
lokalisation schmerzen,9,1.5
gefolgt,9,1.5
jahren erschöpfungssymptomen,9,1.5
psoriasis arthritis,9,1.5
zurückzuführen,9,1.5
leiden habe,9,1.5
stress linderung,9,1.5
chronische kopfschmerzen,9,1.5
ausgeprägte müdigkeitssymptomatik,9,1.5
lumbalsyndrom,9,1.5
leukämie,9,1.5
amoxicillin,9,1.5
zungengrund,9,1.5
trauma,9,1.5
klagte jahren,9,1.5
bestünde morgensteifigkeit,9,1.5
gelenkbeschwerden rahmen,9,1.5
empfunden besteht,9,1.5
besserung führen,9,1.5
vermehrtes schwitzen,9,1.5
seien ziehend,9,1.5
habe letzten,9,1.5
seien brennend,9,1.5
hinzugekommen,9,1.5
blieb,9,1.5
druckschmerz,9,1.5
lumboischialgie,9,1.5
herzkrankheit,9,1.5
