term,document_count,percent,examples
borreliose schubartigen knieschmerzen beidseits,2,0.3,
borreliose schubartigen knieschmerzen,2,0.3,
konzentrationsstörungen berichtete borreliose schubartigen,2,0.3,
borreliose schubartigen,2,0.3,
berichtete borreliose schubartigen knieschmerzen,2,0.3,
energieabhängig konzentrationsstörungen berichtete borreliose,2,0.3,
berichtete borreliose,2,0.3,
abgeschlagenheit schlaf durchschlafstörungen,2,0.3,
abgeschlagenheit schlaf durchschlafstörungen gestört,2,0.3,
erschöpfungszustand kraftlosigkeit,2,0.3,
spannungskopfschmerzen zeit,2,0.3,
patienten colitis ulcerosa befall,2,0.3,
patienten colitis ulcerosa,2,0.3,
colitis ulcerosa befall enddarms,2,0.3,
colitis ulcerosa befall,2,0.3,
eines vorbekannten reizdarmsyndroms,2,0.3,Weiterhin intestinale Beschwerden im Rahmen eines vorbekannten Reizdarmsyndroms.
rahmen eines vorbekannten reizdarmsyndroms,2,0.3,Weiterhin intestinale Beschwerden im Rahmen eines vorbekannten Reizdarmsyndroms.
vorbekannten reizdarmsyndroms,2,0.3,Weiterhin intestinale Beschwerden im Rahmen eines vorbekannten Reizdarmsyndroms.
schlafstörungen konzentrations,2,0.3,
rheumatologische abklärung wegweisenden hinweis,2,0.3,
lumboischialgie,2,0.3,Lumboischialgie S1 rechts bei Bandscheibenvorfall L4/5. | Zudem leide er seit über sieben Jahren unter einer chronischen Lumboischialgie beidseits.
koxarthrose rechts,2,0.3,"Es sei bereits ambulant eine orthopädische Vorstellung erfolgt, wobei eine aktivierte Koxarthrose rechts festgestellt worden sei. | Es wurde eine Koxarthrose rechts vermutet."
linderung wärme physiotherapie ostechondrose,2,0.3,
physiotherapie ostechondrose,2,0.3,
wärme physiotherapie ostechondrose,2,0.3,
vielen jahren zervikobrachialgien,2,0.3,
borreliose kopfschmerzen,2,0.3,
sorgen polyneuropathie,2,0.3,
polyneuropathie gehfähigkeit,2,0.3,
sorgen polyneuropathie gehfähigkeit,2,0.3,
polyneuropathie gehfähigkeit verliere,2,0.3,
sorgen polyneuropathie gehfähigkeit verliere,2,0.3,
zukunftsängste sorgen polyneuropathie,2,0.3,
polyneuropathie gehfähigkeit verliere chronischen,2,0.3,
zukunftsängste sorgen polyneuropathie gehfähigkeit,2,0.3,
cephalgien,2,0.3,Als Begleiterscheinungen gibt die Patientin eine ausgeprägte Nacken-Schulter-Verspannung sowie Cephalgien an. | Seitdem leide er unter Belastungsdyspnoe und persistierende Cephalgien sowie Erschöpfungssymptomatik.
zwanzig jahren tinnitus aurium,2,0.3,
spinalstenose,2,0.3,"Degenerative Veränderungen und eine zervikale Spinalstenose sind bekannt. | Die MRT der LWS vom 02.09.2019 zeigte unter anderem eine hochgradige Spinalstenose im Segment LWK3/4, Spondylolisthese in Höhe LWK5/SWK 1 und in den unteren drei LWS-Segmenten hochgradige Neuroforamenstenose."
zwanzig jahren tinnitus,2,0.3,
fortgeschrittener coxarthrose,2,0.3,"Aufgrund fortgeschrittener Coxarthrose wurde bereits eine Totalendoprothese der linken Hüfte implantiert. | Hier gibt die Patientin an, dass ihr im vergangenen Jahr beide HTEP wegen fortgeschrittener Coxarthrose implantiert wurden."
konzentrationsstörungen fühle,2,0.3,
schwindelgefühl,2,0.3,"Als Begleiterscheinungen nennt die Patientin leichtes Schwindelgefühl. | Er berichtet, dass er an diesen Tag um 03:00 Uhr wach geworden war und hatte entsetzlich starke rechtseitige Kopfschmerzen mit starkem Schwindelgefühl."
patienten colitis,2,0.3,
migräne wechseljahren,2,0.3,
migräne fügt hinzu migräne,2,0.3,
übelkeit erbrechen begleitet migräneanfälle,2,0.3,
kopf migräne,2,0.3,
durchschlafstörungen erschwerend,2,0.3,
gelegentliche durchschlafstörungen,2,0.3,Es handelt sich um regelmäßige Einschlafstörungen sowie gelegentliche Durchschlafstörungen. | Ihr Schlaf ist gestört – sowohl Einschlafstörungen als auch gelegentliche Durchschlafstörungen und frühmorgendliches Erwachen treten auf.
einschlafstörungen gelegentliche,2,0.3,
schlafapnoesyndrom,2,0.3,"Erschwerend hinzu kommt ein obstruktives Schlafapnoesyndrom. | Dabei wurden folgende Diagnosen gestellt: mittelgradiges Schlafapnoesyndrom, unklarer Schwankschwindel, reaktive Depression, degeneratives HWS- Syndrom, degenerative Lumbalgie, Kopfschmerzen, Jucken am Rumpf und im Gesichts- und Kopfbereich."
allergische rhinitis,2,0.3,"Diese treten unabhängig von Jahreszeiten auf und deuten auf eine perennierende allergische Rhinitis hin. | Die Allergie äußert sich insbesondere in einer allergischen Konjunktivitis, Juckreiz im Kopfbereich hier seien insbesondere die Ohren betroffen, allergische Rhinitis sowie allergische Asthma bronchiale."
einschlafstörungen gelegentliche durchschlafstörungen,2,0.3,
rhinitis,2,0.3,"Diese treten unabhängig von Jahreszeiten auf und deuten auf eine perennierende allergische Rhinitis hin. | Die Allergie äußert sich insbesondere in einer allergischen Konjunktivitis, Juckreiz im Kopfbereich hier seien insbesondere die Ohren betroffen, allergische Rhinitis sowie allergische Asthma bronchiale."
kopfschmerzen treten fast,2,0.3,Kopfschmerzen treten fast täglich auf. | Kopfschmerzen treten fast jeden Tag morgendlich nach dem Aufstehen auf und halten ca.
pfeifen tinnitus unterschiedlicher,2,0.3,
rheumatologische abklärung wegweisenden,2,0.3,
rheumatischen,2,0.3,Es besteht derzeit kein beweisender Anhalt einer entzündlichen rheumatischen Gelenk oder Systemerkrankung. | Auch eine Erkrankung aus dem rheumatischen Formenkreis konnte in der rheumatologischen Klinik in Erlangen ausgeschlossen werden.
starke zukunftsängste sorgen polyneuropathie,2,0.3,
migräne fügt,2,0.3,"In Bezug auf die Migräne fügt die Patientin hinzu, dass ihre Migräne, seit sie in den Wechseljahren ist, etwas nachgelassen hat und einen etwas anderen Charakter hat als vor den Wechseljahren."
bezug migräne fügt hinzu,2,0.3,
rechts ganzen kopf migräne,2,0.3,
aura migräne licht,2,0.3,
migräne besten,2,0.3,
ganzen kopf migräne besten,2,0.3,
bezug migräne fügt,2,0.3,
fügt hinzu migräne,2,0.3,
kälte bezug migräne fügt,2,0.3,
begleitet migräneanfälle monat,2,0.3,
migräne wechseljahren etwas,2,0.3,
migräneanfälle monat auftreten,2,0.3,
hinzu migräne wechseljahren,2,0.3,
hinzu migräne,2,0.3,
besserung kälte bezug migräne,2,0.3,
migräneanfälle monat auftreten dauern,2,0.3,
einer gicht arthritis finger,2,0.3,
arthritis finger handgelenken,2,0.3,
einer gicht arthritis,2,0.3,Weitere therapierelevante Beschwerden sind Gelenkbeschwerden im Rahmen einer Gicht Arthritis.
rahmen einer gicht arthritis,2,0.3,Weitere therapierelevante Beschwerden sind Gelenkbeschwerden im Rahmen einer Gicht Arthritis.
einer gastroösophagealen refluxkrankheit ösophagitis,2,0.3,
arthritis finger handgelenken sprunggelenke,2,0.3,
gicht arthritis finger,2,0.3,
refluxkrankheit ösophagitis,2,0.3,
rhizarthrose diagnostiziert,2,0.3,Es wurde hier eine Rhizarthrose diagnostiziert. | Es sei die Rhizarthrose diagnostiziert worden.
lungenfibrose,2,0.3,"Außerdem leide sie bei diagnostizierter Lungenfibrose unter starken Hustenattacken mit weißlichem, schaumigem Auswurf. | das Vorliegen einer Lungenfibrose ergeben habe."
tinnitus aurium rechts charakter,2,0.3,
vierzig jahren migräne,2,0.3,
bezug migräne,2,0.3,
migräne licht geräuschempfindlichkeit tränende,2,0.3,
ganzen kopf migräne,2,0.3,
jahren migräne aura migräne,2,0.3,
kopf migräne besten,2,0.3,
migräne wechseljahren etwas nachgelassen,2,0.3,
vierzig jahren migräne aura,2,0.3,
erbrechen begleitet migräneanfälle monat,2,0.3,
migräne besten hilft,2,0.3,
fügt hinzu migräne wechseljahren,2,0.3,
hinzu migräne wechseljahren etwas,2,0.3,
migräne besten hilft wenn,2,0.3,
aura migräne licht geräuschempfindlichkeit,2,0.3,
begleitet migräneanfälle monat auftreten,2,0.3,
migräne aura migräne licht,2,0.3,
migräne fügt hinzu,2,0.3,
arthritis finger,2,0.3,
gastroösophagealen refluxkrankheit ösophagitis,2,0.3,
gicht arthritis,2,0.3,Weitere therapierelevante Beschwerden sind Gelenkbeschwerden im Rahmen einer Gicht Arthritis.
gicht arthritis finger handgelenken,2,0.3,
erschöpfung ausgeprägte,2,0.3,
ausgeprägten psychophysischen erschöpfung ausgeprägte,2,0.3,
psychophysischen erschöpfung ausgeprägte,2,0.3,
merkfähigkeitsstörungen schlaf durschlafstörungen,2,0.3,
merkfähigkeitsstörungen schlaf durschlafstörungen gestört,2,0.3,
konzentrations merkfähigkeitsstörungen schlaf durschlafstörungen,2,0.3,
jahren verdauungsstörungen zeigten meistens,2,0.3,
jahren verdauungsstörungen zeigten,2,0.3,
läge hinzu kämen durchschlafstörungen,2,0.3,
kämen durchschlafstörungen,2,0.3,
hinzu kämen durchschlafstörungen,2,0.3,
tinnitus welcher,2,0.3,
vorher gereizt schlaf durchschlafstörungen,2,0.3,
kopf migräne besten hilft,2,0.3,
migräneanfälle monat,2,0.3,
kälte bezug migräne,2,0.3,
rheumatica hauptmanifestation,2,0.3,
polymyalgia rheumatica hauptmanifestation,2,0.3,
einer polymyalgia rheumatica hauptmanifestation,2,0.3,
jahren erschöpfungssymptome,2,0.3,"Sie gibt an, dass sie vor etwa zwei Jahren Erschöpfungssymptome entwickelt habe, die auf lang anhaltende chronische Schmerzen zurückzuführen seien, die sich seit dem letzten Jahr deutlich verschlimmert haben."
jahren tinnitus aurium rechts,2,0.3,
zervikobrachialgien symptomatik fünf,2,0.3,
fiber polyneuropathie,2,0.3,Hier wurde eine Small Fiber Polyneuropathie diagnostiziert.
dorsalgien bereich schmerzen strahlen,2,0.3,
jahren zervikobrachialgien symptomatik fünf,2,0.3,
aufnahmegespräch zwanzig jahren zervikobrachialgien,2,0.3,
polyneuropathie unteren,2,0.3,
zervikobrachialgien symptomatik fünf jahren,2,0.3,
polyneuropathie unteren extremitäten,2,0.3,
neuropathie diagnostiziert,2,0.3,
small fiber neuropathie diagnostiziert,2,0.3,
fiber neuropathie diagnostiziert,2,0.3,
tinnitus aurium charakter eines,2,0.3,
burnout,2,0.3,"Weiterhin berichtet die Patientin über sogenannte „Nervenschmerzen“, die sie seit etwa fünf bis sechs Jahren – im zeitlichen Zusammenhang mit einem damals erlittenen Burnout – erstmals wahrgenommen habe. | Diesbezüglich beklagt der Patient eine ausgeprägte Überforderung mit Burnout."
osteoporose,2,0.3,"Nebenbefundlich lassen sich multiple zerebrale Kavernome, ein arterieller Hypertonus, eine Hypercholesterinämie sowie eine Osteoporose eruieren. | Zudem leide sie unter muskuloskelletale Thoraxschmerzen bei manifester Osteoporose (Z.n."
divertikulose,2,0.3,"Solche Untersuchungen erfolgen bei ihr etwa alle zehn Jahre, da eine bekannte Divertikulose des Kolons vorliegt. | Zudem traten im Januar dieses Jahres erstmals Beschwerden im Rahmen einer intestinalen Divertikulose auf, die im Juli in eine akute Divertikulitis mündeten und antibiotisch behandelt wurden."
beidseitigen tinnitus aurium,2,0.3,"Weiterhin berichtet die Patientin über einen beidseitigen Tinnitus aurium, der sie bereits seit vielen Jahren begleitet und sich in den letzten vier Wochen deutlich verschlechtert habe. | Zudem leidet sie seit über drei Jahren unter einem beidseitigen Tinnitus aurium mit dem Charakter eines Rauschens."
geworden konzentrations merkfähigkeitsstörungen innere,2,0.3,
merkfähigkeitsstörungen innere unruhe schlaf,2,0.3,
aufnahmegespräch chronischen dorsalgien allen,2,0.3,
aufnahmegespräch chronischen dorsalgien,2,0.3,
antrumgastritis,2,0.3,Es isteine Antrumgastritis und Z. | Letzte Gastroskopie 02/2021 (Antrumgastritis).
jahren rhizarthrose,2,0.3,"Außerdem bestünden seit acht Jahren Rhizarthrose-Beschwerden, links mehr als rechts."
einem rheumatologen,2,0.3,"Die Patientin wurde wiederholt von einem Rheumatologen untersucht, und derzeit sind keine spezifischen rheumatologischen Medikamente erforderlich. | Eine Untersuchung bei einem Rheumatologen fand diesbezüglich noch nie statt."
bestehendes problem chronisches syndrom,2,0.3,
problem chronisches syndrom,2,0.3,
erschöpfungssymptome,2,0.3,"Sie gibt an, dass sie vor etwa zwei Jahren Erschöpfungssymptome entwickelt habe, die auf lang anhaltende chronische Schmerzen zurückzuführen seien, die sich seit dem letzten Jahr deutlich verschlimmert haben. | Außerdem berichtet die Patientin, seit über zehn Jahren unter Erschöpfungssymptome zu leiden."
schmerzsymptomatik rahmen einer polymyalgia,2,0.3,
eines migräneanfalls,2,0.3,"Während eines Migräneanfalls helfen der Patientin Ruhe im Liegen, Dunkelheit und ein kühler Umschlag auf der Stirn. | Während eines Migräneanfalls benötige sie Ruhe und einen abgedunkelten Raum; gelegentlich lege sie ein warmes Tuch auf das Gesicht oder einen kalten Lappen auf die Stirn."
erschöpfungssymptomatik symptomatik zwei,2,0.3,
jahren erschöpfungssymptomatik symptomatik,2,0.3,
während eines migräneanfalls,2,0.3,"Während eines Migräneanfalls helfen der Patientin Ruhe im Liegen, Dunkelheit und ein kühler Umschlag auf der Stirn. | Während eines Migräneanfalls benötige sie Ruhe und einen abgedunkelten Raum; gelegentlich lege sie ein warmes Tuch auf das Gesicht oder einen kalten Lappen auf die Stirn."
kopfschmerzen praktisch,2,0.3,
zervikobrachialsyndrom chronisches syndrom belastungsabhängige,2,0.3,
migräneattacken chronisches zervikobrachialsyndrom,2,0.3,
anhalten rezidivierende migräneattacken chronisches,2,0.3,
chronische kopfschmerzen praktisch,2,0.3,
polyarthrose jahren,2,0.3,
erschöpfung verminderte körperliche,2,0.3,
erschöpfung verminderte,2,0.3,
erschöpfung verminderte körperliche belastbarkeit,2,0.3,
atrophie,2,0.3,"Inzwischen verblieben Taubheitsgefühle der Hände bis zum Ellenbogen, taktile Taubheit einiger Finger, Atrophie der Daumenmuskulatur und ein ausgeprägten Pfeifen in den Ohren, was durch Stress schlechter wird. | Bis jetzt durgeführte ausführliche Diagnostik ergab hier ein Short-Segment Barret-Ösophagus, Schleimhaut Atrophie im Antrum."
jahren kopfschmerzen spannungstyp,2,0.3,
aufnahmegespräch jahren kopfschmerzen,2,0.3,
rezidivierende migräneattacken,2,0.3,"Weitere behandlungsbedürftige Beschwerden sind chronische Kopfschmerzen, die praktisch jeden zweiten Tag auftreten und mehrere Stunden anhalten, sowie rezidivierende Migräneattacken, ein chronisches Zervikobrachialsyndrom, ein chronisches LWS-Syndrom sowie belastungsabhängige Gonalgien beidseits, welche die Patientin insbesondere beim Aufrichten aus der Hocke in den Stand deutlich limitieren."
syndrom belastungsabhängige gonalgien,2,0.3,
syndrom belastungsabhängige,2,0.3,
chronisches zervikobrachialsyndrom,2,0.3,"Weitere behandlungsbedürftige Beschwerden sind chronische Kopfschmerzen, die praktisch jeden zweiten Tag auftreten und mehrere Stunden anhalten, sowie rezidivierende Migräneattacken, ein chronisches Zervikobrachialsyndrom, ein chronisches LWS-Syndrom sowie belastungsabhängige Gonalgien beidseits, welche die Patientin insbesondere beim Aufrichten aus der Hocke in den Stand deutlich limitieren."
stunden anhalten rezidivierende migräneattacken,2,0.3,
parkinson syndrom,2,0.3,
kopfschmerzen stirn,2,0.3,
jahren müdigkeitssyndrom,2,0.3,
anhaltender erschöpfung,2,0.3,"Bei Aufnahmegespräch berichtet die Patientin über ein ausgeprägtes psychovegetatives Beschwerdebild mit chronischem Müdigkeitssyndrom, erheblichen Schlafstörungen und anhaltender Erschöpfung. | Kurz gefasst berichtet die Patientin, seit dem Jahr 2020 unter anhaltender Erschöpfung sowie deutlich verminderter körperlicher Belastbarkeit zu leiden."
diagnose eines,2,0.3,Orthopädisch wurde die Diagnose eines frozen shoulder links gestellt. | Im Jahr 2023 wurde bei ihr die Diagnose eines Sjögren-Syndroms offiziell bestätigt.
zunehmender erschöpfung,2,0.3,"Zudem betont sie das Auftreten von Atemproblemen im Sinne einer Belastungsdyspnoe, die sich bei zunehmender Erschöpfung deutlich verstärke. | Zudem leide der Patient seit Jahren an zunehmender Erschöpfung, Reizbarkeit, Antriebslosigkeit, auch Schlafstörungen."
einem jahr zervikobrachialgien,2,0.3,
jahr zervikobrachialgien,2,0.3,
migräneanfalls,2,0.3,"Während eines Migräneanfalls helfen der Patientin Ruhe im Liegen, Dunkelheit und ein kühler Umschlag auf der Stirn. | Während eines Migräneanfalls benötige sie Ruhe und einen abgedunkelten Raum; gelegentlich lege sie ein warmes Tuch auf das Gesicht oder einen kalten Lappen auf die Stirn."
jahren erschöpfungssymptomatik symptomatik zwei,2,0.3,
bronchitis symptomatik,2,0.3,
belastungsabhängige gonalgien beidseits,2,0.3,"Weitere behandlungsbedürftige Beschwerden sind chronische Kopfschmerzen, die praktisch jeden zweiten Tag auftreten und mehrere Stunden anhalten, sowie rezidivierende Migräneattacken, ein chronisches Zervikobrachialsyndrom, ein chronisches LWS-Syndrom sowie belastungsabhängige Gonalgien beidseits, welche die Patientin insbesondere beim Aufrichten aus der Hocke in den Stand deutlich limitieren."
chronisches zervikobrachialsyndrom chronisches syndrom,2,0.3,
migräneattacken chronisches zervikobrachialsyndrom chronisches,2,0.3,
beschwerden chronische kopfschmerzen,2,0.3,
belastungsabhängige gonalgien,2,0.3,"Weitere behandlungsbedürftige Beschwerden sind chronische Kopfschmerzen, die praktisch jeden zweiten Tag auftreten und mehrere Stunden anhalten, sowie rezidivierende Migräneattacken, ein chronisches Zervikobrachialsyndrom, ein chronisches LWS-Syndrom sowie belastungsabhängige Gonalgien beidseits, welche die Patientin insbesondere beim Aufrichten aus der Hocke in den Stand deutlich limitieren."
migräneattacken chronisches,2,0.3,
behandlungsbedürftige beschwerden chronische kopfschmerzen,2,0.3,
beschwerden chronische kopfschmerzen praktisch,2,0.3,
chronisches syndrom belastungsabhängige gonalgien,2,0.3,
syndrom belastungsabhängige gonalgien beidseits,2,0.3,
zervikobrachialsyndrom chronisches,2,0.3,
gonalgien beidseits aufrichten hocke,2,0.3,
belastungsabhängige gonalgien beidseits aufrichten,2,0.3,
anhalten rezidivierende migräneattacken,2,0.3,
rezidivierende migräneattacken chronisches zervikobrachialsyndrom,2,0.3,
gonalgien beidseits aufrichten,2,0.3,
grüble viel konzentrations merkfähigkeitsstörungen,2,0.3,
jahren ausgeprägten durchschlafstörungen,2,0.3,
gelegentliche spannungskopfschmerzen,2,0.3,Als Begleiterscheinungen gibt die Patientin gelegentliche Spannungskopfschmerzen an. | Als Begleiterscheinungen gibt die Patientin eine ausgeprägte Nacken-Schulter-Verspannung sowie gelegentliche Spannungskopfschmerzen auf.
zurückhaltend geworden schlaf durchschlafstörungen,2,0.3,
aufnahmegespräch jahren erschöpfungssymptomen,2,0.3,
seiner erschöpfung,2,0.3,"Patient äußert im Rahmen des Gesprächs die Hypothese, dass die Wurzeln seiner Erschöpfung bis in die Kindheit zurückreichen. | Im Wesentlichen komme der Patient aufgrund seiner Erschöpfung und psychischen Verfassung zur stationären Aufnahme."
dorsalgien bereich anhaltende schmerzen,2,0.3,
dorsalgien bereich anhaltende,2,0.3,
differenzialdiagnosen,2,0.3,"Der Rheumatologe tendiert vielmehr zur Verdachtsdiagnose einer unbestimmten Arthritis, Differenzialdiagnosen: Lyme-Arthritis bzw. | Als Differenzialdiagnosen wurden ein Chondrom oder ein anderer benigner Tumor diskutiert."
häufig durchschlafstörungen,2,0.3,
dreißig jahren chronischen dorsalgien,2,0.3,
angespannt sein schlaf durchschlafstörungen,2,0.3,
kopfschmerzen praktisch jeden,2,0.3,
chronisches zervikobrachialsyndrom chronisches,2,0.3,
rezidivierende migräneattacken chronisches,2,0.3,
zervikobrachialsyndrom chronisches syndrom,2,0.3,
fibromyalgie vermutet hinsichtlich,2,0.3,
jahren zervikobrachialgien symptomatik jahren,2,0.3,
fibromyalgie vermutet,2,0.3,Es wurde eine Fibromyalgie vermutet. | Es sei die Diagnose einer Fibromyalgie vermutet.
rheumatologin,2,0.3,"Erstdiagnose 2023 durch die Rheumatologin Dr. | Die behandelnde Rheumatologin empfahl Etoricoxib zur symptomatischen Schmerztherapie, was laut Patientin jedoch keinerlei Wirkung auf die bestehenden Beschwerden zeigt."
essentieller tremor diagnose,2,0.3,
essentieller tremor diagnose vermutet,2,0.3,
tremor diagnose vermutet,2,0.3,
tremor diagnose,2,0.3,
diagnose vermutet,2,0.3,Es wurde ein Essentieller Tremor als Diagnose vermutet.
durchschlafstörungen häufigem,2,0.3,
gonalgien,2,0.3,"Weitere behandlungsbedürftige Beschwerden sind chronische Kopfschmerzen, die praktisch jeden zweiten Tag auftreten und mehrere Stunden anhalten, sowie rezidivierende Migräneattacken, ein chronisches Zervikobrachialsyndrom, ein chronisches LWS-Syndrom sowie belastungsabhängige Gonalgien beidseits, welche die Patientin insbesondere beim Aufrichten aus der Hocke in den Stand deutlich limitieren."
gonalgien beidseits,2,0.3,"Weitere behandlungsbedürftige Beschwerden sind chronische Kopfschmerzen, die praktisch jeden zweiten Tag auftreten und mehrere Stunden anhalten, sowie rezidivierende Migräneattacken, ein chronisches Zervikobrachialsyndrom, ein chronisches LWS-Syndrom sowie belastungsabhängige Gonalgien beidseits, welche die Patientin insbesondere beim Aufrichten aus der Hocke in den Stand deutlich limitieren."
chronische kopfschmerzen praktisch jeden,2,0.3,
chronisches syndrom belastungsabhängige,2,0.3,
kopfschmerzen praktisch jeden zweiten,2,0.3,
viel konzentrations merkfähigkeitsstörungen,2,0.3,
nahrungsmittelunverträglichkeiten lactose,2,0.3,
jahren bekanntes reizdarmsyndrom,2,0.3,"Darüber hinaus gibt die Patientin an, dass sich ihr bereits seit vielen Jahren bekanntes Reizdarmsyndrom mit zahlreichen Nahrungsmittelunverträglichkeiten in erheblichem Maße negativ auf ihr Müdigkeitssyndrom auswirke. | Darüber hinaus berichtet die Patientin über ein bereits seit über 30 Jahren bekanntes Reizdarmsyndrom, das sich insbesondere in Form von vermehrten Blähungen, Blähbauch, Obstipationsneigung sowie gelegentlich auftretenden Bauchschmerzen manifestiert."
patienten diagnose,2,0.3,
